,Portfolio + Blogging Website,,,,,
,Project Documentation Guide,,,,,

,Complete technical documentation for a full-stack Portfolio & Blogging application built with Next.js (frontend) and Django (backend),,,,,

,Key Information,,,,,

,Frontend Framework,Next.js (React),Backend Framework,Django (Python),,
,Application Type,Portfolio + Blogging Platform,Documentation Version,1.0,,
,Purpose,Personal portfolio showcase + full-featured blog,Target Audience,"Developers, Clients, Recruiters",,
,Architecture,Full-Stack (Frontend + Backend + Database),Rendering,"SSR, SSG, ISR, CSR",,


,Workbook Contents,,,,,

,Sheet Name,Description,,,,
,Project Overview,"Purpose, key features, technology stack, and goals",,,,
,Pages & Responsibilities,Page-level requirements with frontend/backend duties,,,,
,Doc Structure Template,Standardized 6-section documentation template for each page,,,,
,Common Pages,"Detailed documentation for Home, About, Projects, Blog, Contact pages",,,,
,Tech Stack Details,"Frontend/backend technologies, libraries, and tools",,,,
,Data Flow & Standards,Data flow patterns and documentation standards checklist,,,,


,Documentation Standards: Consistent headings | Professional tone | Development-ready references | Uniform structure across all pages,,,,,
,Part 1 — Project Description,,,,

,1. Purpose,,,,
,"Design and document a modern, full-stack web application that acts as both a personal portfolio and a blog platform. The website serves a dual purpose: showcasing personal projects as a portfolio and functioning as a full-featured blog platform. It is built for developers, clients, and recruiters to view projects, read technical articles, and make contact.",,,,



,2. Key Features,,,,
,Feature Category,Description,,,
,Portfolio Showcase,"Display personal projects with descriptions, screenshots, tech stacks, and live/demo links",,,
,Blog Platform,"Full-featured blog with post creation, rich text editing, categories, tags, and comments",,,
,Responsive Design,"Mobile-first, adaptive layouts that work seamlessly across all device sizes",,,
,SEO Optimization,"Meta tags, Open Graph, structured data, sitemap, and search engine friendly URLs",,,
,Contact System,"Contact form with validation, email notifications, and optional social media links",,,
,Admin Dashboard,"Backend interface for managing projects, blog posts, comments, and site settings",,,
,Authentication,"User login/registration, session management, role-based access control",,,
,Performance,"Fast page loads, image optimization, caching strategy, Core Web Vitals compliance",,,


,3. Technology Stack,,,,
,Layer,Technology,Technology,Purpose,
,Frontend,Next.js 14+,Django 5+,"Python web framework with ORM, admin, security",
,Frontend,TypeScript,Django REST Framework,RESTful API serialization and viewsets,
,Frontend,Tailwind CSS,PostgreSQL,Primary relational database,
,Frontend,shadcn/ui,Redis,Caching layer and session store,
,Frontend,React Query,Celery,Background task processing,
,Frontend,Zustand,JWT/OAuth2,Authentication token handling,
,Frontend,Axios,WhiteNoise,Static file serving in production,
,Frontend,Next-Auth.js,Gunicorn,WSGI HTTP server for production,
,Page-Level Requirements & Responsibilities,,,,
,"Each page requires documentation of its purpose, frontend responsibilities (Next.js), and backend responsibilities (Django)",,,,

,Page,Purpose,Frontend Responsibilities (Next.js),Backend Responsibilities (Django),
,Home / Landing,"First impression; showcases featured projects, latest blog posts, and personal brand","Hero section, project previews, blog post cards, CTA buttons; SSR for SEO; responsive layout with Tailwind; animated entrance effects","API endpoints: GET /featured-projects, GET /latest-posts; caching with Redis; meta tag configuration via Django settings",
,About,"Personal bio, skills, experience, education, and professional background","Bio section, timeline component, skills visualization, downloadable resume link; SSG for static content","About model (bio, skills, experience entries); GET /about endpoint; media storage for resume PDF; admin-managed content",
,Projects / Portfolio,"Complete listing of all projects with filtering, search, and detailed views","Project grid with filters (category, tech stack), search bar, pagination, project detail modal/page; ISR for detail pages","Project model (title, description, tech_stack, screenshots, live_url, github_url); GET /projects with filters; image upload to S3/local storage",
,Blog / Articles,"Blog post listing with categories, tags, pagination, and search functionality","Post cards with excerpts, category/tag filters, pagination, search input; SSR for SEO; RSS feed link","Post model (title, slug, content, excerpt, category, tags, published_at, author); GET /posts with filters; full-text search via PostgreSQL",
,Blog Post Detail,"Individual blog post with full content, author info, related posts, and comments","Rich text rendering, code syntax highlighting, social share buttons, comment section, reading time estimate; SSG or ISR","GET /posts/:slug endpoint; Comment model (post, author, content, created_at); related posts query; view count tracking",
,Contact,"Contact form for visitors to send messages, plus social media links","Contact form with validation (name, email, subject, message), success/error states, reCAPTCHA integration; social media icons",ContactForm model; POST /contact endpoint with validation; email sending via Django EmailBackend; rate limiting; spam filtering,
,Admin Dashboard,"Backend interface for content management (projects, posts, comments, settings)",Next.js middleware auth guards; admin layout with sidebar; CRUD tables for projects/posts; rich text editor component; analytics charts,Django Admin customization; DRF ViewSets with ModelViewSet; authentication/permission classes (IsAdminUser); admin-specific API endpoints,
,Auth / Login,"User authentication (login, register, forgot password, profile)","Login/register forms, password reset flow, JWT token storage, protected routes middleware; Next-Auth.js integration","User model (email, password hash, role); Token authentication (JWT or session-based); POST /auth/login, /auth/register, /auth/refresh endpoints",
,Part 2 — Per-Page Documentation Template,,,
,Backend,psycopg2-binary,Database,PostgreSQL adapter for Python/Django ORM,
,DevOps,Docker,Containerization,Container packaging for consistent development and production environments,
,DevOps,Docker Compose,Orchestration,Multi-container local development environment setup,
,DevOps,Git / GitHub,Version Control,Source code management with branching and CI/CD integration,
,DevOps,GitHub Actions,CI/CD,"Automated testing, building, and deployment pipelines",
,DevOps,Nginx,Web Server,"Reverse proxy, load balancer, and static file serving in production",
,DevOps,AWS / Vercel,Hosting,Cloud deployment platform for frontend (Vercel) and backend (AWS),
,DevOps,AWS S3,Storage,"Object storage for media files (project screenshots, blog images)",
,DevOps,AWS SES,Email,Transactional email service for contact form notifications,
,DevOps,CloudFront,CDN,Content delivery network for static assets and media files,
,Testing,Jest,Frontend Test,JavaScript testing framework for unit and integration tests,
,Testing,React Testing Library,Frontend Test,DOM testing utilities for React component testing,
,Testing,Playwright,E2E Test,End-to-end testing for critical user flows,
,Testing,pytest,Backend Test,Python testing framework for Django unit and integration tests,
,Testing,pytest-django,Backend Test,pytest plugin for Django testing utilities and fixtures,
,Testing,factory_boy,Backend Test,Test data generation with model factories,
,Testing,Coverage.py,Quality,Code coverage measurement for Python test suites,
,Testing,ESLint,Quality,JavaScript/TypeScript linting for code quality and consistency,
,Testing,Prettier,Quality,Code formatter for consistent code style across the frontend,
,Testing,Black,Quality,Python code formatter for consistent backend code style,
,Testing,isort,Quality,Python import sorting for clean and organized imports,
,Testing,mypy,Quality,Static type checking for Python code,
Data Flow Patterns & Documentation Standards,,

1. Common Data Flow Patterns,,
Pattern,Description,Applicable Pages
SSR (Server-Side Rendering),"Next.js fetches data on each request at the server. Django API responds with fresh data. HTML rendered server-side and sent to client. Best for SEO-critical, frequently changing content.","Home (latest data), Blog List (filtered posts), Contact (form page)"
SSG (Static Site Generation),Next.js fetches data at build time. HTML pre-rendered and cached on CDN. Fastest page loads. Content updated only on rebuild.,"About (static bio), Project Detail (if content rarely changes)"
ISR (Incremental Static Regeneration),"Next.js serves cached page immediately, then revalidates in background. Combines speed of SSG with freshness of SSR.","Blog Post Detail (revalidate hourly), Project Detail (revalidate on update)"
CSR (Client-Side Rendering),"Initial page shell rendered, then data fetched in browser via React Query. Loading states shown during fetch. Good for interactive, user-specific content.","Admin Dashboard (authenticated data), Comments section (lazy loaded)"
Form Submission Flow,User fills form > client validation > API POST request > server validation > database save > email notification > success response. Error responses update form UI.,"Contact form, Comment submission, Admin CRUD operations"
Search / Filter Flow,User enters search term or selects filter > debounced API request > Django applies filters (PostgreSQL full-text or queryset filters) > paginated JSON response > UI updates.,"Blog search, Projects filtering, Tag/Category pages"
Auth Flow (JWT),User submits credentials > Django validates > returns access + refresh tokens > stored in httpOnly cookies > subsequent requests include token > middleware validates > protected resource returned.,"Login, Register, Admin pages, Protected API endpoints"
Caching Flow,Request arrives > Django checks Redis cache > cache hit: return cached JSON > cache miss: query database > serialize > store in Redis with TTL > return response. Subsequent requests served from cache.,"Home featured projects, Blog post lists, Category/tag data"


2. Request/Response Lifecycle Example (Blog Post),,
Step,Layer,Action
1,Browser,User navigates to /blog/my-post-slug
2,Next.js,ISR checks cache: stale/miss > triggers data fetch; cache hit > serves immediately
3,Next.js,getStaticProps / fetch calls GET /api/posts/my-post-slug/
4,Nginx,"Receives HTTP request, proxies to Gunicorn/Django"
5,Django,URL router matches posts/<slug>/ > dispatches to PostDetailView
6,Django,Permission check: AllowAny (public) > proceeds to view logic
7,Django ORM,"Query: Post.objects.select_related('author','category').prefetch_related('tags','comments').get(slug='my-post-slug')"
8,PostgreSQL,Executes optimized query with JOINs; returns row data
9,Django ORM,F('view_count') + 1: atomically increments view counter
10,Django ORM,"Fetches related posts: shares tags, excludes current, limit 3"
11,Django,PostDetailSerializer serializes post + nested relationships to JSON
12,Django,Returns HTTP 200 with JSON response body
13,Next.js,"Receives JSON, passes as props to PostDetailPage component"
14,Next.js,"Renders HTML: react-markdown processes content, components hydrate"
15,Browser,"Receives complete HTML, displays page, JS hydrates interactivity"



3. Documentation Standards & Best Practices,,
Category,Standard,Requirement
Structure,Consistent Format,Every page MUST follow the same 6-section documentation template without variation
Structure,Uniform Headings,Use identical heading levels and naming across all page documents
Content,Comprehensive Coverage,Documentation must be detailed enough for direct implementation without guessing
Content,Bullet Points,"Use consistent bullet formatting for features, responsibilities, and data items"
Tone,Professional Voice,"Write in a development-ready, professional tone suitable for engineering teams"
Technical,Code Examples,"Include code snippets for models, serializers, views, and key frontend components"
Technical,API Specs,"Document all endpoints with HTTP methods, URLs, payloads, response codes, and examples"
Technical,Error Handling,"Document error responses, edge cases, and fallback UI behavior"
Security,Auth & Permissions,Specify authentication requirements and permission levels for every endpoint
Security,Validation Rules,"Document all data validation rules (min/max length, format, required fields)"
Performance,Optimization Notes,"Include caching strategy, query optimization, and bundle considerations"
SEO,Meta Information,"Document title templates, meta descriptions, Open Graph, and structured data"
UX,Accessibility,"Note ARIA labels, keyboard navigation, semantic HTML, and screen reader support"
Maintenance,Version Control,"Document file structure, naming conventions, and component organization"
